0,1,2,3
32,74.0,51.0,69.0
33,74.0,30.0,69.0
34,74.0,52.0,53.0
35,74.0,29.0,53.0
36,51.0,7.0,69.0
37,30.0,7.0,69.0
38,52.0,7.0,53.0
39,29.0,7.0,53.0
40,74.0,51.0,37.0
41,74.0,30.0,37.0
42,74.0,52.0,21.0
43,74.0,29.0,21.0
44,51.0,7.0,37.0
45,30.0,7.0,37.0
46,52.0,7.0,21.0
47,29.0,7.0,21.0
48,51.0,74.0,69.0
49,30.0,74.0,69.0
50,52.0,74.0,53.0
51,29.0,74.0,53.0
52,7.0,51.0,69.0
53,7.0,30.0,69.0
54,7.0,52.0,53.0
55,7.0,29.0,53.0
56,51.0,74.0,37.0
57,30.0,74.0,37.0
58,52.0,74.0,21.0
59,29.0,74.0,21.0
60,7.0,51.0,37.0
61,7.0,30.0,37.0
62,7.0,52.0,21.0
63,7.0,29.0,21.0
